id;manhansu;tennhansu;sdt;email;diachi;namsinh;sudung
1;Optimized;microchip;66019;Dusty_Nienow73@hotmail.com;Jamaica Credit Card Account;Gorgeous Rubber Pants Cheese;12016
2;leading-edge;Ergonomic Steel Gloves;85546;Mazie.Dare@hotmail.com;connect;Hollow Shoes systems;39850
3;Personal Loan Account;HTTP explicit;1530;Torrey_Kuvalis@yahoo.com;payment Soap;Web;94425
4;COM;Data North Dakota;38816;Lue_Champlin@yahoo.com;parsing Investment Account;Branding Dynamic black;6936
5;Fantastic;Ergonomic Rubber Chicken;33655;Madie_Hamill@gmail.com;Garden open-source hybrid;Solomon Islands Dollar;34833
6;Accountability Handmade Cotton Bacon;intermediate Table quantify;80683;Yolanda.Renner@yahoo.com;Robust Louisiana;Infrastructure SSL bandwidth;75087
7;compress Fantastic Global;Buckinghamshire monetize;29763;Bailey1@hotmail.com;Internal Fantastic time-frame;CFP Franc Borders Borders;8328
8;Gorgeous Money Market Account;Danish Krone parse;79157;Patricia93@hotmail.com;Associate Designer;mindshare;88770
9;cross-media Frozen;Syrian Pound;83696;Samson.Bradtke42@yahoo.com;Centralized revolutionize International;Sleek;8483
10;Planner;PCI SAS;23668;Sydney_Yost@hotmail.com;repurpose Sleek;mesh system Triple-buffered;33025
